Country,Child early and forced marriage,Domestic violence/Intimate partner violence,Female genital mutilation,Female genital mutilation.1,Femicide Feminicide,Forced pregnancy,Forced sterilization,Form Of Violence,Other harmful practices,Sexual harassment,Sexual violence,Stalking,Technology-facilitated violence against women,Trafficking,Violence against women and girls,tot_prev,ISO
Finland,2,20,1,0,0,0,0,0,0,2,4,0,0,8,14,51,FIN
France,1,33,9,0,0,0,0,0,0,17,5,0,0,5,44,114,FRA
Gabon,2,0,1,0,0,0,0,0,0,0,0,0,0,3,13,19,GAB
Gambia,2,1,2,0,0,0,0,0,0,0,2,0,0,1,10,18,GMB
Georgia,1,22,2,0,1,0,0,0,0,2,2,0,0,11,17,58,GEO
Germany,3,19,5,0,0,0,0,0,1,1,7,2,0,11,30,79,DEU
Ghana,1,7,2,0,0,0,0,0,0,0,1,0,0,0,5,16,GHA
Greece,0,9,0,0,0,0,0,0,0,2,1,0,0,16,5,33,GRC
Grenada,0,6,0,0,0,0,0,0,0,0,0,0,0,1,21,28,GRD
Guatemala,1,11,0,0,6,0,0,0,0,0,3,0,0,9,18,48,GTM
Guinea,1,0,3,0,0,0,0,0,0,0,1,0,0,2,6,13,GIN
Guinea-Bissau,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,5,GNB
Guyana,0,39,0,0,0,0,0,0,0,1,5,0,0,2,10,57,GUY
Haiti,0,5,0,0,0,0,0,0,0,0,1,0,0,0,24,30,HTI
Honduras,0,15,0,0,1,0,0,0,0,0,0,0,0,0,16,32,HND
Hungary,0,17,0,0,0,0,0,0,0,0,0,0,0,3,10,30,HUN
Iceland,0,19,0,0,0,0,0,0,0,7,12,0,0,4,19,61,ISL
India,2,14,0,0,0,0,0,0,7,4,6,0,0,28,43,104,IND
Indonesia,0,3,2,0,0,0,0,0,0,1,2,0,0,4,16,28,IDN
Iran (Islamic Republic of),2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,7,IRN
Iraq,0,8,1,0,0,0,0,0,1,0,1,0,0,0,11,22,IRQ
Ireland,0,23,2,0,0,0,0,0,0,5,10,2,0,5,16,63,IRL
Israel,0,18,3,0,0,0,0,0,0,6,5,1,1,7,5,46,ISR
Italy,0,8,1,0,0,0,0,0,0,0,5,1,0,1,8,24,ITA
Jamaica,0,15,0,0,0,0,0,0,0,0,3,0,0,4,15,37,JAM
Japan,0,26,0,0,0,0,0,0,0,2,8,1,0,4,14,55,JPN
Jordan,1,4,0,0,0,0,0,0,0,2,0,0,0,3,19,29,JOR
Kazakhstan,0,10,0,0,0,0,0,0,0,0,3,0,0,5,17,35,KAZ
Kenya,1,2,6,0,0,0,0,0,0,2,6,0,0,0,17,34,KEN
Kiribati,0,14,0,0,0,0,0,0,0,0,3,0,0,0,14,31,KIR
Kuwait,1,5,0,0,0,0,0,0,0,0,2,0,1,5,5,19,KWT
Kyrgyzstan,5,19,0,0,0,0,0,0,0,0,0,0,0,7,23,54,KGZ
Lao People's Democratic Republic,1,2,0,0,0,0,0,0,0,0,3,0,0,9,10,25,LAO
Latvia,0,12,1,0,0,0,0,0,0,1,4,0,0,8,15,41,LVA
Lebanon,0,6,0,0,0,0,0,0,1,0,2,0,0,3,8,20,LBN
Lesotho,0,1,0,0,0,0,0,0,0,1,2,0,0,1,10,15,LSO
Liberia,3,2,3,0,0,0,0,0,0,3,5,0,0,2,9,27,LBR
